seq,payload_bytes,build_ns,sendto_ns,rtt_ns,rx_len,ok
0,768,370,20500,167648,768,1
1,768,333,13093,139462,768,1
2,768,296,6500,129463,768,1
3,768,296,5593,127944,768,1
4,768,297,5370,128241,768,1
5,768,296,5593,128204,768,1
6,768,297,5370,128574,768,1
7,768,296,6130,128556,768,1
8,768,296,5389,128444,768,1
9,768,297,5592,127963,768,1
10,768,297,5315,129722,768,1
11,768,297,5463,127352,768,1
12,768,296,5352,127426,768,1
13,768,296,5315,127704,768,1
14,768,297,5537,128259,768,1
15,768,296,5333,128611,768,1
16,768,296,5852,128945,768,1
17,768,296,5296,127852,768,1
18,768,296,5278,127815,768,1
19,768,297,5537,127926,768,1
20,768,296,5519,127926,768,1
21,768,296,5296,127204,768,1
22,768,296,5260,127518,768,1
23,768,297,5148,127537,768,1
24,768,296,5185,127908,768,1
25,768,297,5185,128185,768,1
26,768,296,5185,127537,768,1
27,768,296,5185,127926,768,1
28,768,297,5185,127352,768,1
29,768,297,5166,127352,768,1
30,768,296,5185,127925,768,1
31,768,296,5259,127815,768,1
32,768,297,5407,128204,768,1
33,768,297,5296,128296,768,1
34,768,297,5240,127704,768,1
35,768,296,5222,128111,768,1
36,768,296,5149,128185,768,1
37,768,296,5241,127556,768,1
38,768,297,5666,128333,768,1
39,768,297,5278,128130,768,1
40,768,297,5185,127944,768,1
41,768,296,5204,129371,768,1
42,768,296,5185,127889,768,1
43,768,296,5204,127686,768,1
44,768,297,5185,128815,768,1
45,768,296,5185,127352,768,1
46,768,278,5203,127722,768,1
47,768,296,5222,128667,768,1
48,768,296,5445,128426,768,1
49,768,278,5592,128537,768,1
50,768,296,5204,127704,768,1
51,768,296,5185,127297,768,1
52,768,296,5185,127371,768,1
53,768,296,5167,127685,768,1
54,768,296,5167,127556,768,1
55,768,297,5166,127889,768,1
56,768,297,5148,127944,768,1
57,768,296,5148,126982,768,1
58,768,297,5129,127648,768,1
59,768,296,5149,127666,768,1
60,768,296,5149,127370,768,1
61,768,315,5148,128685,768,1
62,768,296,5149,127796,768,1
63,768,296,5185,127037,768,1
64,768,296,5333,127445,768,1
65,768,297,5185,127574,768,1
66,768,296,5149,132926,768,1
67,768,278,5241,127500,768,1
68,768,296,5223,128166,768,1
69,768,296,5741,128111,768,1
70,768,315,5500,127870,768,1
71,768,297,5241,128111,768,1
72,768,296,5185,127241,768,1
73,768,297,5185,128259,768,1
74,768,296,5204,127389,768,1
75,768,296,5186,128018,768,1
76,768,296,5222,127741,768,1
77,768,296,5222,127260,768,1
78,768,297,5222,127611,768,1
79,768,278,5203,127537,768,1
80,768,277,5389,127851,768,1
81,768,296,5260,128166,768,1
82,768,296,5241,127481,768,1
83,768,296,5204,127871,768,1
84,768,296,5241,128019,768,1
85,768,297,5259,127370,768,1
86,768,296,5222,127575,768,1
